flops,execution_time,cycle_count,throughput,energy_efficiency,power_efficiency,function,arch,subarch,arch_dim,max_seq_len,flops_baseline,execution_time_baseline,cycle_count_baseline
0.010704655026053675,0.0011152999103065146,446119.9641226071,22.49532613198019,226.75755032471196,10.078113347764985,softmax,mugi,vlp,128x8,max_seq_len_128,0.010706879138942546,0.025094247981896595,10037699.19275864
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,300.60273155231533,13.360121402325117,silu,mugi,vlp,128x8,max_seq_len_128,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.03638337499092116,0.003790629913222456,1516251.9652889827,22.495874587366284,226.50389822990655,10.066839921329173,softmax,mugi,vlp,128x8,max_seq_len_256,0.03639004716693558,0.08528917304750525,34115669.219002165
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,300.60273155231533,13.360121402325117,silu,mugi,vlp,128x8,max_seq_len_256,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.13897373292430787,0.014478052106689251,5791220.842675696,22.49747991933634,226.44239608639964,10.064106492728873,softmax,mugi,vlp,128x8,max_seq_len_512,0.1389893002242168,0.3257561724005081,130302468.9602029
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,300.60273155231533,13.360121402325117,silu,mugi,vlp,128x8,max_seq_len_512,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.549086117554038,0.057199945244162505,22879978.097664975,22.498633215887764,226.4343903263619,10.063750681171646,softmax,mugi,vlp,128x8,max_seq_len_1024,0.5491194743439599,1.2869987679936559,514799507.19746184
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,300.60273155231533,13.360121402325117,silu,mugi,vlp,128x8,max_seq_len_1024,1.6314406665827477,3.8236890623033144,1529475624.9213274
2.1890375592551483,0.2280319265212676,91212770.60850728,22.49929147103771,226.43650991902808,10.063844885290138,softmax,mugi,vlp,128x8,max_seq_len_2048,2.189106494604169,5.1307183467285205,2052287338.6914134
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,300.60273155231533,13.360121402325117,silu,mugi,vlp,128x8,max_seq_len_2048,1.6314406665827477,3.8236890623033144,1529475624.9213274
8.747847130956595,0.9112486690841123,364499467.63364536,22.499639679898426,226.43912031120067,10.06396090272004,softmax,mugi,vlp,128x8,max_seq_len_4096,8.74798722320748,20.503095054392535,8201238021.7569895
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,300.60273155231533,13.360121402325117,silu,mugi,vlp,128x8,max_seq_len_4096,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.01070020402552972,0.0005576499551532573,223059.98206130313,44.97194512988527,482.03473421968624,10.711882982659674,softmax,mugi,vlp,256x8,max_seq_len_128,0.010706879138942546,0.025094247981896595,10037699.19275864
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,667.8513297520237,14.841140661156082,silu,mugi,vlp,256x8,max_seq_len_128,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.03637002329247787,0.0018953149566112262,758125.9826444912,44.975238439607864,481.19202385483044,10.693156085662899,softmax,mugi,vlp,256x8,max_seq_len_256,0.03639004716693558,0.08528917304750525,34115669.219002165
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,667.8513297520237,14.841140661156082,silu,mugi,vlp,256x8,max_seq_len_256,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.1389425878574583,0.0072390260533446256,2895610.421337853,44.98487612714977,481.02544528725394,10.689454339716752,softmax,mugi,vlp,256x8,max_seq_len_512,0.1389893002242168,0.3257561724005081,130302468.9602029
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,667.8513297520237,14.841140661156082,silu,mugi,vlp,256x8,max_seq_len_512,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.549019391813005,0.02859997262208125,11439989.048832506,44.991798298724774,481.0277460706061,10.689505468235689,softmax,mugi,vlp,256x8,max_seq_len_1024,0.5491194743439599,1.2869987679936559,514799507.19746184
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,667.8513297520237,14.841140661156082,silu,mugi,vlp,256x8,max_seq_len_1024,1.6314406665827477,3.8236890623033144,1529475624.9213274
2.1888996755304753,0.11401596326063382,45606385.304253556,44.99574855844651,481.0515932462115,10.690035405471384,softmax,mugi,vlp,256x8,max_seq_len_2048,2.189106494604169,5.1307183467285205,2052287338.6914134
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,667.8513297520237,14.841140661156082,silu,mugi,vlp,256x8,max_seq_len_2048,1.6314406665827477,3.8236890623033144,1529475624.9213274
8.747566932993012,0.45562433454205614,182249733.81682232,44.99783801014238,481.0692237303226,10.690427194007171,softmax,mugi,vlp,256x8,max_seq_len_4096,8.74798722320748,20.503095054392535,8201238021.7569895
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,667.8513297520237,14.841140661156082,silu,mugi,vlp,256x8,max_seq_len_4096,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.010704655026053675,0.0032570600508631275,1302824.0203452522,7.7029698026797675,25.57624360688937,3.3196197536279737,softmax,carat,,128x8,max_seq_len_128,0.010706879138942546,0.025094247981896595,10037699.19275864
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,28.138364913871325,3.5172956142339142,silu,carat,,128x8,max_seq_len_128,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.03638337499092116,0.011252724285411853,4501089.714164738,7.578034702718254,25.022219210897106,3.3013350197747844,softmax,carat,,128x8,max_seq_len_256,0.03639004716693558,0.08528917304750525,34115669.219002165
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,28.138364913871325,3.5172956142339142,silu,carat,,128x8,max_seq_len_256,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.13897373292430787,0.04319211583847857,17276846.33539146,7.541183853076552,24.857208801409193,3.295825322541275,softmax,carat,,128x8,max_seq_len_512,0.1389893002242168,0.3257561724005081,130302468.9602029
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,28.138364913871325,3.5172956142339142,silu,carat,,128x8,max_seq_len_512,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.549086117554038,0.1708707647602165,68348305.9040866,7.531543443509578,24.813354371670957,3.294390750943266,softmax,carat,,128x8,max_seq_len_1024,0.5491194743439599,1.2869987679936559,514799507.19746184
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,28.138364913871325,3.5172956142339142,silu,carat,,128x8,max_seq_len_1024,1.6314406665827477,3.8236890623033144,1529475624.9213274
2.1890375592551483,0.6814299099697733,272571963.9879092,7.529104174091558,24.80192329283491,3.294036276087945,softmax,carat,,128x8,max_seq_len_2048,2.189106494604169,5.1307183467285205,2052287338.6914134
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,28.138364913871325,3.5172956142339142,silu,carat,,128x8,max_seq_len_2048,1.6314406665827477,3.8236890623033144,1529475624.9213274
8.747847130956595,2.723356244918485,1089342497.9673939,7.528492370924907,24.798889365913855,3.2939519639614274,softmax,carat,,128x8,max_seq_len_4096,8.74798722320748,20.503095054392535,8201238021.7569895
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,28.138364913871325,3.5172956142339142,silu,carat,,128x8,max_seq_len_4096,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.01070020402552972,0.0017367136613887857,694685.464555515,14.440263667172886,50.26315614480233,3.478594377650617,softmax,carat,,256x8,max_seq_len_128,0.010706879138942546,0.025094247981896595,10037699.19275864
1.6314406665827477,0.23898056639395712,95592226.55758293,15.999999999999996,60.17659839254462,3.761037399534037,silu,carat,,256x8,max_seq_len_128,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.03637002329247787,0.006138332149984457,2455332.859993785,13.886873503898096,47.682382414777585,3.431740401580127,softmax,carat,,256x8,max_seq_len_256,0.03639004716693558,0.08528917304750525,34115669.219002165
1.6314406665827477,0.23898056639395712,95592226.55758293,15.999999999999996,60.17659839254462,3.761037399534037,silu,carat,,256x8,max_seq_len_256,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.1389425878574583,0.023713067738411742,9485227.095364729,13.732794671834771,46.95348531047646,3.417928107139414,softmax,carat,,256x8,max_seq_len_512,0.1389893002242168,0.3257561724005081,130302468.9602029
1.6314406665827477,0.23898056639395712,95592226.55758293,15.999999999999996,60.17659839254462,3.761037399534037,silu,carat,,256x8,max_seq_len_512,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.549019391813005,0.09397147688276261,37588590.753105104,13.69313585618195,46.761852288511044,3.414362492495127,softmax,carat,,256x8,max_seq_len_1024,0.5491194743439599,1.2869987679936559,514799507.19746184
1.6314406665827477,0.23898056639395712,95592226.55758293,15.999999999999996,60.17659839254462,3.761037399534037,silu,carat,,256x8,max_seq_len_1024,1.6314406665827477,3.8236890623033144,1529475624.9213274
2.1888996755304753,0.3749308783612026,149972351.3444812,13.683145109169068,46.71165119695173,3.413487006968992,softmax,carat,,256x8,max_seq_len_2048,2.189106494604169,5.1307183467285205,2052287338.6914134
1.6314406665827477,0.23898056639395712,95592226.55758293,15.999999999999996,60.17659839254462,3.761037399534037,silu,carat,,256x8,max_seq_len_2048,1.6314406665827477,3.8236890623033144,1529475624.9213274
8.747566932993012,1.4986218840445598,599448753.617824,13.680642340461617,46.69811877294366,3.41328089984407,softmax,carat,,256x8,max_seq_len_4096,8.74798722320748,20.503095054392535,8201238021.7569895
1.6314406665827477,0.23898056639395712,95592226.55758293,15.999999999999996,60.17659839254462,3.761037399534037,silu,carat,,256x8,max_seq_len_4096,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.010706879138942546,0.025094247981896595,10037699.19275864,1.0,1.0,1.0,softmax,systolic,mac,16x16,max_seq_len_128,0.010706879138942546,0.025094247981896595,10037699.19275864
1.6314406665827477,3.8236890623033144,1529475624.9213274,1.0,1.0,1.0,silu,systolic,mac,16x16,max_seq_len_128,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.03639004716693558,0.08528917304750525,34115669.219002165,1.0,1.0,1.0,softmax,systolic,mac,16x16,max_seq_len_256,0.03639004716693558,0.08528917304750525,34115669.219002165
1.6314406665827477,3.8236890623033144,1529475624.9213274,1.0,1.0,1.0,silu,systolic,mac,16x16,max_seq_len_256,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.1389893002242168,0.3257561724005081,130302468.9602029,1.0,1.0,1.0,softmax,systolic,mac,16x16,max_seq_len_512,0.1389893002242168,0.3257561724005081,130302468.9602029
1.6314406665827477,3.8236890623033144,1529475624.9213274,1.0,1.0,1.0,silu,systolic,mac,16x16,max_seq_len_512,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.5491194743439599,1.2869987679936559,514799507.19746184,1.0,1.0,1.0,softmax,systolic,mac,16x16,max_seq_len_1024,0.5491194743439599,1.2869987679936559,514799507.19746184
1.6314406665827477,3.8236890623033144,1529475624.9213274,1.0,1.0,1.0,silu,systolic,mac,16x16,max_seq_len_1024,1.6314406665827477,3.8236890623033144,1529475624.9213274
2.189106494604169,5.1307183467285205,2052287338.6914134,1.0,1.0,1.0,softmax,systolic,mac,16x16,max_seq_len_2048,2.189106494604169,5.1307183467285205,2052287338.6914134
1.6314406665827477,3.8236890623033144,1529475624.9213274,1.0,1.0,1.0,silu,systolic,mac,16x16,max_seq_len_2048,1.6314406665827477,3.8236890623033144,1529475624.9213274
8.74798722320748,20.503095054392535,8201238021.7569895,1.0,1.0,1.0,softmax,systolic,mac,16x16,max_seq_len_4096,8.74798722320748,20.503095054392535,8201238021.7569895
1.6314406665827477,3.8236890623033144,1529475624.9213274,1.0,1.0,1.0,silu,systolic,mac,16x16,max_seq_len_4096,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.010706879138942546,0.0027882497757662867,1115299.910306515,8.999999999999996,56.39855051902987,6.266505613225539,softmax,systolic,pwl,16x16,max_seq_len_128,0.010706879138942546,0.025094247981896595,10037699.19275864
1.6314406665827477,0.4248543402559239,169941736.1023693,9.000000000000002,64.4535937218919,7.161510413543537,silu,systolic,pwl,16x16,max_seq_len_128,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.03639004716693558,0.00947657478305614,3790629.91322246,9.0,56.398550519029776,6.2665056132255375,softmax,systolic,pwl,16x16,max_seq_len_256,0.03639004716693558,0.08528917304750525,34115669.219002165
1.6314406665827477,0.4248543402559239,169941736.1023693,9.000000000000002,64.4535937218919,7.161510413543537,silu,systolic,pwl,16x16,max_seq_len_256,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.1389893002242168,0.03619513026672313,14478052.10668923,9.0,56.398550519029875,6.266505613225539,softmax,systolic,pwl,16x16,max_seq_len_512,0.1389893002242168,0.3257561724005081,130302468.9602029
1.6314406665827477,0.4248543402559239,169941736.1023693,9.000000000000002,64.4535937218919,7.161510413543537,silu,systolic,pwl,16x16,max_seq_len_512,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.5491194743439599,0.14299986311040624,57199945.24416249,8.999999999999996,56.39855051902984,6.266505613225539,softmax,systolic,pwl,16x16,max_seq_len_1024,0.5491194743439599,1.2869987679936559,514799507.19746184
1.6314406665827477,0.4248543402559239,169941736.1023693,9.000000000000002,64.4535937218919,7.161510413543537,silu,systolic,pwl,16x16,max_seq_len_1024,1.6314406665827477,3.8236890623033144,1529475624.9213274
2.189106494604169,0.570079816303169,228031926.5212676,9.0,56.39855051902984,6.26650561322554,softmax,systolic,pwl,16x16,max_seq_len_2048,2.189106494604169,5.1307183467285205,2052287338.6914134
1.6314406665827477,0.4248543402559239,169941736.1023693,9.000000000000002,64.4535937218919,7.161510413543537,silu,systolic,pwl,16x16,max_seq_len_2048,1.6314406665827477,3.8236890623033144,1529475624.9213274
8.74798722320748,2.278121672710281,911248669.084111,8.999999999999996,56.39855051902984,6.266505613225539,softmax,systolic,pwl,16x16,max_seq_len_4096,8.74798722320748,20.503095054392535,8201238021.7569895
1.6314406665827477,0.4248543402559239,169941736.1023693,9.000000000000002,64.4535937218919,7.161510413543537,silu,systolic,pwl,16x16,max_seq_len_4096,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.010706879138942546,0.005576499551532579,2230599.82061303,4.499999999999998,14.609325072304648,3.2465166827343683,softmax,systolic,taylor,16x16,max_seq_len_128,0.010706879138942546,0.025094247981896595,10037699.19275864
14.682965999244729,0.8497086805118477,339883472.2047392,40.49999999999999,139.31127541096637,30.958061202436955,silu,systolic,taylor,16x16,max_seq_len_128,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.03639004716693558,0.018953149566112274,7581259.826444907,4.5,14.60932507230465,3.2465166827343688,softmax,systolic,taylor,16x16,max_seq_len_256,0.03639004716693558,0.08528917304750525,34115669.219002165
14.682965999244729,0.8497086805118477,339883472.2047392,40.49999999999999,139.31127541096637,30.958061202436955,silu,systolic,taylor,16x16,max_seq_len_256,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.1389893002242168,0.07239026053344624,28956104.21337851,4.5,14.609325072304662,3.2465166827343683,softmax,systolic,taylor,16x16,max_seq_len_512,0.1389893002242168,0.3257561724005081,130302468.9602029
14.682965999244729,0.8497086805118477,339883472.2047392,40.49999999999999,139.31127541096637,30.958061202436955,silu,systolic,taylor,16x16,max_seq_len_512,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.5491194743439599,0.2859997262208125,114399890.48832479,4.499999999999999,14.609325072304655,3.2465166827343683,softmax,systolic,taylor,16x16,max_seq_len_1024,0.5491194743439599,1.2869987679936559,514799507.19746184
14.682965999244729,0.8497086805118477,339883472.2047392,40.49999999999999,139.31127541096637,30.958061202436955,silu,systolic,taylor,16x16,max_seq_len_1024,1.6314406665827477,3.8236890623033144,1529475624.9213274
2.189106494604169,1.1401596326063381,456063853.0425345,4.5,14.609325072304646,3.2465166827343688,softmax,systolic,taylor,16x16,max_seq_len_2048,2.189106494604169,5.1307183467285205,2052287338.6914134
14.682965999244729,0.8497086805118477,339883472.2047392,40.49999999999999,139.31127541096637,30.958061202436955,silu,systolic,taylor,16x16,max_seq_len_2048,1.6314406665827477,3.8236890623033144,1529475624.9213274
8.74798722320748,4.556243345420562,1822497338.1682253,4.499999999999999,14.60932507230465,3.2465166827343683,softmax,systolic,taylor,16x16,max_seq_len_4096,8.74798722320748,20.503095054392535,8201238021.7569895
14.682965999244729,0.8497086805118477,339883472.2047392,40.49999999999999,139.31127541096637,30.958061202436955,silu,systolic,taylor,16x16,max_seq_len_4096,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.010704655026053675,0.0032570600508631275,1302824.0203452522,7.7029698026797675,3.798550878013015,0.49302566567735795,softmax,tensor,,8x16x16,max_seq_len_128,0.010706879138942546,0.025094247981896595,10037699.19275864
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,4.14167576057146,0.5177094700714323,silu,tensor,,8x16x16,max_seq_len_128,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.03638337499092116,0.011252724285411853,4501089.714164738,7.578034702718254,3.6820582372705326,0.4857965515008216,softmax,tensor,,8x16x16,max_seq_len_256,0.03639004716693558,0.08528917304750525,34115669.219002165
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,4.14167576057146,0.5177094700714323,silu,tensor,,8x16x16,max_seq_len_256,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.13897373292430787,0.04319211583847859,17276846.33539146,7.541183853076547,3.6477721360760786,0.4836592826246225,softmax,tensor,,8x16x16,max_seq_len_512,0.1389893002242168,0.3257561724005081,130302468.9602029
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,4.14167576057146,0.5177094700714323,silu,tensor,,8x16x16,max_seq_len_512,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.549086117554038,0.17087076476021654,68348305.9040866,7.531543443509578,3.6387200321351525,0.4831013751540111,softmax,tensor,,8x16x16,max_seq_len_1024,0.5491194743439599,1.2869987679936559,514799507.19746184
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,4.14167576057146,0.5177094700714323,silu,tensor,,8x16x16,max_seq_len_1024,1.6314406665827477,3.8236890623033144,1529475624.9213274
2.1890375592551483,0.6814299099697734,272571963.9879092,7.5291041740915565,3.6363757629835036,0.48296067749774474,softmax,tensor,,8x16x16,max_seq_len_2048,2.189106494604169,5.1307183467285205,2052287338.6914134
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,4.14167576057146,0.5177094700714323,silu,tensor,,8x16x16,max_seq_len_2048,1.6314406665827477,3.8236890623033144,1529475624.9213274
8.747847130956595,2.7233562449184854,1089342497.9673939,7.528492370924907,3.6357618388146338,0.4829258549748023,softmax,tensor,,8x16x16,max_seq_len_4096,8.74798722320748,20.503095054392535,8201238021.7569895
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,4.14167576057146,0.5177094700714323,silu,tensor,,8x16x16,max_seq_len_4096,1.6314406665827477,3.8236890623033144,1529475624.9213274
